Date,Close,Volume,Year,Month,Close_Lag1,Volume_Lag1,Close_Change,Volume_Change,Cluster
2008-09-04,10280,27785550,2008,9,10540.0,25714350.0,-260.0,2071200.0,1
2008-09-05,10440,43649450,2008,9,10280.0,27785550.0,160.0,15863900.0,1
2008-09-08,10860,38900200,2008,9,10440.0,43649450.0,420.0,-4749250.0,1
2008-09-09,10720,22013050,2008,9,10860.0,38900200.0,-140.0,-16887150.0,0
2008-09-10,10840,36506850,2008,9,10720.0,22013050.0,120.0,14493800.0,1
2008-09-11,10740,47173400,2008,9,10840.0,36506850.0,-100.0,10666550.0,1
2008-09-12,10860,30258700,2008,9,10740.0,47173400.0,120.0,-16914700.0,0
2008-09-15,10860,0,2008,9,10860.0,30258700.0,0.0,-30258700.0,0
2008-09-16,10500,41059050,2008,9,10860.0,0.0,-360.0,41059050.0,1
2008-09-17,10500,29978550,2008,9,10500.0,41059050.0,0.0,-11080500.0,0
2008-09-18,10340,27650,2008,9,10500.0,29978550.0,-160.0,-29950900.0,0
2008-09-19,11160,53205000,2008,9,10340.0,27650.0,820.0,53177350.0,1
2008-09-22,11160,27502650,2008,9,11160.0,53205000.0,0.0,-25702350.0,0
2008-09-23,11200,23125950,2008,9,11160.0,27502650.0,40.0,-4376700.0,0
2008-09-24,11280,20463600,2008,9,11200.0,23125950.0,80.0,-2662350.0,0
2008-09-25,11340,17974550,2008,9,11280.0,20463600.0,60.0,-2489050.0,0
2008-09-26,11060,26314850,2008,9,11340.0,17974550.0,-280.0,8340300.0,1
2008-09-29,10880,27731950,2008,9,11060.0,26314850.0,-180.0,1417100.0,1
2008-09-30,10780,37898000,2008,9,10880.0,27731950.0,-100.0,10166050.0,1
2008-10-01,10660,25788700,2008,10,10780.0,37898000.0,-120.0,-12109300.0,0
2008-10-02,10560,27381150,2008,10,10660.0,25788700.0,-100.0,1592450.0,1
2008-10-03,10560,0,2008,10,10560.0,27381150.0,0.0,-27381150.0,0
2008-10-06,10340,31577200,2008,10,10560.0,0.0,-220.0,31577200.0,1
2008-10-07,10620,29567750,2008,10,10340.0,31577200.0,280.0,-2009450.0,1
2008-10-08,10560,32639550,2008,10,10620.0,29567750.0,-60.0,3071800.0,1
2008-10-09,10820,35793950,2008,10,10560.0,32639550.0,260.0,3154400.0,1
2008-10-10,10420,44160200,2008,10,10820.0,35793950.0,-400.0,8366250.0,1
2008-10-13,10480,30486050,2008,10,10420.0,44160200.0,60.0,-13674150.0,0
2008-10-14,11200,33052100,2008,10,10480.0,30486050.0,720.0,2566050.0,1
2008-10-15,10940,31447000,2008,10,11200.0,33052100.0,-260.0,-1605100.0,1
2008-10-16,10080,46931350,2008,10,10940.0,31447000.0,-860.0,15484350.0,1
2008-10-17,10020,44541850,2008,10,10080.0,46931350.0,-60.0,-2389500.0,1
2008-10-20,10420,27564050,2008,10,10020.0,44541850.0,400.0,-16977800.0,0
2008-10-21,10380,24505550,2008,10,10420.0,27564050.0,-40.0,-3058500.0,0
2008-10-22,10160,33829400,2008,10,10380.0,24505550.0,-220.0,9323850.0,1
2008-10-23,9450,50023000,2008,10,10160.0,33829400.0,-710.0,16193600.0,1
2008-10-24,8040,59626350,2008,10,9450.0,50023000.0,-1410.0,9603350.0,1
2008-10-27,8760,48100000,2008,10,8040.0,59626350.0,720.0,-11526350.0,1
2008-10-28,9270,49703350,2008,10,8760.0,48100000.0,510.0,1603350.0,1
2008-10-29,9500,64873450,2008,10,9270.0,49703350.0,230.0,15170100.0,1
2008-10-30,10740,54704850,2008,10,9500.0,64873450.0,1240.0,-10168600.0,1
2008-10-31,10540,61573650,2008,10,10740.0,54704850.0,-200.0,6868800.0,1
2008-11-03,10320,44058100,2008,11,10540.0,61573650.0,-220.0,-17515550.0,1
2008-11-04,10280,39167400,2008,11,10320.0,44058100.0,-40.0,-4890700.0,1
2008-11-05,10300,40923450,2008,11,10280.0,39167400.0,20.0,1756050.0,1
2008-11-06,9830,38703200,2008,11,10300.0,40923450.0,-470.0,-2220250.0,1
2008-11-07,9790,49487350,2008,11,9830.0,38703200.0,-40.0,10784150.0,1
2008-11-10,9490,45419600,2008,11,9790.0,49487350.0,-300.0,-4067750.0,1
2008-11-11,9410,34532350,2008,11,9490.0,45419600.0,-80.0,-10887250.0,1
2008-11-12,9610,30403150,2008,11,9410.0,34532350.0,200.0,-4129200.0,1
2008-11-13,9480,36855000,2008,11,9610.0,30403150.0,-130.0,6451850.0,1
2008-11-14,9260,29588450,2008,11,9480.0,36855000.0,-220.0,-7266550.0,1
2008-11-17,9010,32580350,2008,11,9260.0,29588450.0,-250.0,2991900.0,1
2008-11-18,8700,33973750,2008,11,9010.0,32580350.0,-310.0,1393400.0,1
2008-11-19,8760,30987100,2008,11,8700.0,33973750.0,60.0,-2986650.0,1
2008-11-20,8460,28092450,2008,11,8760.0,30987100.0,-300.0,-2894650.0,1
2008-11-21,8880,31568650,2008,11,8460.0,28092450.0,420.0,3476200.0,1
2008-11-24,8800,29133500,2008,11,8880.0,31568650.0,-80.0,-2435150.0,1
2008-11-25,9030,33102950,2008,11,8800.0,29133500.0,230.0,3969450.0,1
2008-11-26,9460,31013050,2008,11,9030.0,33102950.0,430.0,-2089900.0,1
2008-11-27,9700,26557750,2008,11,9460.0,31013050.0,240.0,-4455300.0,0
2008-11-28,9720,22543000,2008,11,9700.0,26557750.0,20.0,-4014750.0,0
2008-12-01,9530,15856850,2008,12,9720.0,22543000.0,-190.0,-6686150.0,0
2008-12-02,9080,24170850,2008,12,9530.0,15856850.0,-450.0,8314000.0,1
2008-12-03,8820,36099650,2008,12,9080.0,24170850.0,-260.0,11928800.0,1
2008-12-04,8610,34990250,2008,12,8820.0,36099650.0,-210.0,-1109400.0,1
2008-12-05,8540,29513550,2008,12,8610.0,34990250.0,-70.0,-5476700.0,1
2008-12-08,9280,40352200,2008,12,8540.0,29513550.0,740.0,10838650.0,1
2008-12-09,9390,29640550,2008,12,9280.0,40352200.0,110.0,-10711650.0,0
2008-12-10,9620,37277700,2008,12,9390.0,29640550.0,230.0,7637150.0,1
2008-12-11,9650,51925650,2008,12,9620.0,37277700.0,30.0,14647950.0,1
2008-12-12,9210,27922300,2008,12,9650.0,51925650.0,-440.0,-24003350.0,0
2008-12-15,9440,27906950,2008,12,9210.0,27922300.0,230.0,-15350.0,1
2008-12-16,9140,35224700,2008,12,9440.0,27906950.0,-300.0,7317750.0,1
2008-12-17,9190,33886150,2008,12,9140.0,35224700.0,50.0,-1338550.0,1
2008-12-18,9360,33352450,2008,12,9190.0,33886150.0,170.0,-533700.0,1
2008-12-19,9790,49042900,2008,12,9360.0,33352450.0,430.0,15690450.0,1
2008-12-22,9720,22930050,2008,12,9790.0,49042900.0,-70.0,-26112850.0,0
2008-12-23,9130,28528400,2008,12,9720.0,22930050.0,-590.0,5598350.0,1
2008-12-24,9200,18946050,2008,12,9130.0,28528400.0,70.0,-9582350.0,0
2008-12-25,9200,0,2008,12,9200.0,18946050.0,0.0,-18946050.0,0
2008-12-26,9120,11553200,2008,12,9200.0,0.0,-80.0,11553200.0,0
2008-12-29,9080,15942850,2008,12,9120.0,11553200.0,-40.0,4389650.0,0
2008-12-30,9020,17938200,2008,12,9080.0,15942850.0,-60.0,1995350.0,0
2008-12-31,9020,0,2008,12,9020.0,17938200.0,0.0,-17938200.0,0
2009-01-02,9400,22978400,2009,1,9020.0,0.0,380.0,22978400.0,1
2009-01-05,9520,30460450,2009,1,9400.0,22978400.0,120.0,7482050.0,1
2009-01-06,9960,45072450,2009,1,9520.0,30460450.0,440.0,14612000.0,1
2009-01-07,10480,41286200,2009,1,9960.0,45072450.0,520.0,-3786250.0,1
2009-01-08,10160,30614600,2009,1,10480.0,41286200.0,-320.0,-10671600.0,0
2009-01-09,9860,30113100,2009,1,10160.0,30614600.0,-300.0,-501500.0,1
2009-01-12,9790,17708600,2009,1,9860.0,30113100.0,-70.0,-12404500.0,0
2009-01-13,9830,17577200,2009,1,9790.0,17708600.0,40.0,-131400.0,0
2009-01-14,9790,19297550,2009,1,9830.0,17577200.0,-40.0,1720350.0,0
2009-01-15,9190,31394300,2009,1,9790.0,19297550.0,-600.0,12096750.0,1
2009-01-16,9360,22261700,2009,1,9190.0,31394300.0,170.0,-9132600.0,0
2009-01-19,9500,19136900,2009,1,9360.0,22261700.0,140.0,-3124800.0,0
2009-01-20,9280,18496050,2009,1,9500.0,19136900.0,-220.0,-640850.0,0
2009-01-21,8970,22203800,2009,1,9280.0,18496050.0,-310.0,3707750.0,1
